{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.85, 'last_trade_time': 1703150972, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -85.6, 'change_percent': -34.32}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 163.4, 'last_trade_time': 1703150975, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -86.05, 'change_percent': -34.5}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
{'last_price': 166.0, 'last_trade_time': 1703151126, 'security_id': 65622, 'tradable': 1, 'mode': 61, 'change_absolute': -83.45, 'change_percent': -33.45}
