{'last_price': 655.0, 'last_trade_time': 1703151728, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -139.1, 'change_percent': -17.52}
{'last_price': 655.0, 'last_trade_time': 1703151728, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -139.1, 'change_percent': -17.52}
{'last_price': 655.0, 'last_trade_time': 1703151728, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -139.1, 'change_percent': -17.52}
{'last_price': 655.0, 'last_trade_time': 1703151728, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -139.1, 'change_percent': -17.52}
{'last_price': 655.0, 'last_trade_time': 1703151728, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -139.1, 'change_percent': -17.52}
{'last_price': 643.05, 'last_trade_time': 1703151784, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -151.05, 'change_percent': -19.02}
{'last_price': 643.05, 'last_trade_time': 1703151784, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -151.05, 'change_percent': -19.02}
{'last_price': 643.05, 'last_trade_time': 1703151784, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -151.05, 'change_percent': -19.02}
{'last_price': 643.05, 'last_trade_time': 1703151784, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -151.05, 'change_percent': -19.02}
{'last_price': 643.05, 'last_trade_time': 1703151784, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -151.05, 'change_percent': -19.02}
{'last_price': 643.05, 'last_trade_time': 1703151784, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -151.05, 'change_percent': -19.02}
{'last_price': 650.7, 'last_trade_time': 1703151906, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -143.4, 'change_percent': -18.06}
{'last_price': 650.7, 'last_trade_time': 1703151906, 'security_id': 58607, 'tradable': 1, 'mode': 61, 'change_absolute': -143.4, 'change_percent': -18.06}
