{'last_price': 60.0, 'last_trade_time': 1703150972, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.9, 'change_percent': 36.05}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
{'last_price': 59.5, 'last_trade_time': 1703150974, 'security_id': 65627, 'tradable': 1, 'mode': 61, 'change_absolute': 15.4, 'change_percent': 34.92}
