{'last_price': 5.95, 'last_trade_time': 1703151730, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.7, 'change_percent': -52.96}
{'last_price': 5.95, 'last_trade_time': 1703151730, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.7, 'change_percent': -52.96}
{'last_price': 5.95, 'last_trade_time': 1703151730, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.7, 'change_percent': -52.96}
{'last_price': 5.95, 'last_trade_time': 1703151730, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.7, 'change_percent': -52.96}
{'last_price': 5.95, 'last_trade_time': 1703151730, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.7, 'change_percent': -52.96}
{'last_price': 6.2, 'last_trade_time': 1703151786, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.2, 'last_trade_time': 1703151786, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.2, 'last_trade_time': 1703151786, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.2, 'last_trade_time': 1703151786, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.2, 'last_trade_time': 1703151786, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.2, 'last_trade_time': 1703151786, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.25, 'last_trade_time': 1703151787, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151787, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151787, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.2, 'last_trade_time': 1703151788, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.2, 'last_trade_time': 1703151788, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.45, 'change_percent': -50.99}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.25, 'last_trade_time': 1703151912, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
{'last_price': 6.3, 'last_trade_time': 1703151918, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.35, 'change_percent': -50.2}
{'last_price': 6.3, 'last_trade_time': 1703151918, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.35, 'change_percent': -50.2}
{'last_price': 6.3, 'last_trade_time': 1703151918, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.35, 'change_percent': -50.2}
{'last_price': 6.3, 'last_trade_time': 1703151918, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.35, 'change_percent': -50.2}
{'last_price': 6.25, 'last_trade_time': 1703151919, 'security_id': 58606, 'tradable': 1, 'mode': 61, 'change_absolute': -6.4, 'change_percent': -50.59}
