{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.3, 'last_trade_time': 1703150973, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.7, 'change_percent': -33.57}
{'last_price': 9.25, 'last_trade_time': 1703150974, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.75, 'change_percent': -33.93}
{'last_price': 9.25, 'last_trade_time': 1703150974, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.75, 'change_percent': -33.93}
{'last_price': 9.25, 'last_trade_time': 1703150974, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.75, 'change_percent': -33.93}
{'last_price': 9.25, 'last_trade_time': 1703150974, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.75, 'change_percent': -33.93}
{'last_price': 9.25, 'last_trade_time': 1703150974, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.75, 'change_percent': -33.93}
{'last_price': 9.25, 'last_trade_time': 1703150974, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.75, 'change_percent': -33.93}
{'last_price': 9.25, 'last_trade_time': 1703150974, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.75, 'change_percent': -33.93}
{'last_price': 9.4, 'last_trade_time': 1703151125, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.6, 'change_percent': -32.86}
{'last_price': 9.4, 'last_trade_time': 1703151125, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.6, 'change_percent': -32.86}
{'last_price': 9.4, 'last_trade_time': 1703151125, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.6, 'change_percent': -32.86}
{'last_price': 9.4, 'last_trade_time': 1703151125, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.6, 'change_percent': -32.86}
{'last_price': 9.4, 'last_trade_time': 1703151125, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.6, 'change_percent': -32.86}
{'last_price': 9.4, 'last_trade_time': 1703151125, 'security_id': 65665, 'tradable': 1, 'mode': 61, 'change_absolute': -4.6, 'change_percent': -32.86}
