{'last_price': 28.05, 'last_trade_time': 1703150972, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.65, 'change_percent': 10.43}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.0, 'last_trade_time': 1703150973, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 2.6, 'change_percent': 10.24}
{'last_price': 28.75, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.35, 'change_percent': 13.19}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
{'last_price': 28.8, 'last_trade_time': 1703151126, 'security_id': 65647, 'tradable': 1, 'mode': 61, 'change_absolute': 3.4, 'change_percent': 13.39}
